id,ipo_id,object_id,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,source_url,source_description,created_at,updated_at
46,53,c:256,0.0,USD,0.0,USD,2007-12-28,NYSE:N,,,2008-06-02 20:26:57,2012-04-17 04:40:09
47,54,c:3246,0.0,USD,0.0,USD,1978-01-13,NYSE:IBM,,,2008-06-04 03:52:45,2012-04-12 04:04:11
48,55,c:6478,0.0,USD,0.0,,,GSB,,,2008-06-10 18:30:46,2008-06-10 21:56:19
49,57,c:323,0.0,USD,0.0,USD,1991-12-20,NASDAQ:QCOM,,,2008-06-11 00:59:12,2012-04-12 03:52:22
50,59,,0.0,USD,0.0,,,WMI,,,2008-06-17 21:14:24,2008-06-17 21:14:49
51,60,c:6783,0.0,USD,0.0,,1971-01-01,WM,,,2008-06-17 21:14:49,2010-08-19 15:43:13
52,61,c:3277,0.0,USD,0.0,USD,2003-07-17,BNG,,,2008-07-03 08:03:46,2012-03-03 20:32:38
53,62,c:7872,970000000.0,USD,0.0,USD,2006-09-14,JP:2121,,,2008-07-07 17:35:57,2013-01-27 04:50:59
54,63,c:41,0.0,USD,0.0,USD,1978-01-13,NYSE:GCI,,,2008-07-28 09:25:33,2013-10-04 13:42:58
55,64,c:8931,0.0,USD,0.0,USD,2000-08-18,NASDAQ:EQIX,,,2008-09-04 20:27:54,2012-04-16 03:48:16
56,65,c:840,0.0,USD,0.0,,,VCLK,,,2008-10-21 23:28:59,2008-10-21 23:28:59
57,66,c:570,0.0,USD,0.0,USD,1988-06-28,NYSE:SSP,http://www.scripps.com/node/429,E.W. Scripps' Company Website,2008-10-22 19:56:53,2013-12-09 21:50:30
58,67,c:3275,0.0,USD,0.0,USD,1995-11-17,NASDAQ:SNDK,,,2008-11-24 20:44:43,2012-04-16 02:54:58
59,68,c:1066,0.0,USD,0.0,,,DNA,,,2008-12-10 19:05:54,2008-12-10 19:05:54
60,70,c:2390,0.0,USD,0.0,USD,1999-03-19,NASDAQ:INFY,,,2008-12-10 19:16:08,2012-04-12 04:59:17
61,71,c:28,0.0,USD,0.0,USD,1990-02-23,NASDAQ:CSCO,,,2008-12-10 19:19:25,2012-04-12 04:17:28
62,72,c:851,0.0,USD,0.0,,,ERTS,,,2008-12-10 19:21:01,2008-12-10 19:21:01
63,73,,0.0,USD,0.0,,,ERTS,,,2008-12-10 19:21:01,2008-12-10 19:21:05
64,74,c:851,0.0,USD,0.0,,,NASDAQ:ERTS,,,2008-12-10 19:21:06,2010-11-25 09:17:38
65,75,c:5208,0.0,USD,0.0,USD,1999-01-29,NASDAQ:NVDA,,,2008-12-10 19:34:17,2012-04-16 03:16:41
66,76,c:4843,0.0,USD,0.0,USD,,NASDAQ:VZ,,,2008-12-10 19:36:06,2013-02-08 04:31:27
67,77,c:71,0.0,USD,0.0,USD,1978-01-13,NASDAQ:INTC,,,2008-12-10 19:38:50,2012-04-12 03:53:33
68,78,c:15609,108960000000.0,JPY,0.0,,2008-12-17,3632,,,2008-12-22 21:31:45,2010-10-08 06:47:07
69,80,c:6651,0.0,USD,0.0,,,CPWR,,,2009-01-06 15:19:44,2009-01-07 17:30:55
70,81,c:3161,5440000000.0,USD,0.0,,2011-11-07,RAX,,,2009-01-14 20:52:52,2011-11-08 09:34:40
71,82,c:4498,0.0,USD,0.0,,,DT,,,2009-01-20 22:04:21,2009-01-20 22:04:21
72,83,c:2334,0.0,USD,0.0,,1999-09-01,TIVO,,,2009-01-20 23:07:01,2009-01-20 23:07:55
73,86,c:1926,0.0,USD,0.0,,2007-04-03,SCOR,,,2009-01-20 23:26:59,2009-01-20 23:27:51
74,87,c:4019,0.0,USD,0.0,USD,2000-04-13,NASDAQ:SINA,,,2009-01-20 23:41:16,2012-04-10 04:16:17
75,88,c:17289,0.0,USD,0.0,,1999-06-01,QPSA (AMEX),,,2009-01-20 23:43:47,2011-11-13 18:47:48
76,89,c:5040,0.0,USD,0.0,USD,1993-11-05,NASDAQ:ATVI,,,2009-01-20 23:47:12,2012-04-16 02:44:34
77,90,c:5182,0.0,USD,0.0,USD,1990-01-02,NASDAQ:ADSK,,,2009-01-20 23:59:17,2012-04-11 04:14:31
78,91,c:7030,0.0,USD,0.0,USD,1996-07-05,NASDAQ:CHKP,,,2009-01-27 20:44:23,2012-04-13 05:12:49
79,92,c:6292,0.0,USD,0.0,USD,1998-10-16,NYSE:GIB,http://deitkppmvydm.com/,akxZoAgo,2009-01-27 21:02:04,2012-07-28 04:16:47
80,93,c:12287,0.0,USD,0.0,,2000-03-01,NASDAQ:WBSN,,,2009-01-27 22:35:29,2010-03-09 18:41:11
81,94,c:18116,0.0,USD,0.0,,2008-02-14,GOCH,,,2009-01-31 21:00:07,2009-01-31 21:00:07
82,95,c:18131,0.0,CAD,0.0,,,CPAH,,,2009-01-31 21:31:48,2010-06-06 02:03:17
83,96,c:18136,0.0,USD,0.0,USD,,NASDAQ:SHOR,,,2009-01-31 21:43:38,2012-03-29 02:59:37
84,97,c:18378,0.0,USD,0.0,,,TREE,,,2009-02-06 20:25:26,2009-02-06 20:25:26
85,98,c:13389,0.0,USD,0.0,,1999-07-28,DSCM,,,2009-02-09 02:19:25,2009-02-09 02:23:42
86,99,c:16531,0.0,USD,0.0,,2005-01-01,LYV,,,2009-02-10 16:45:46,2009-02-10 16:45:46
87,101,c:21123,0.0,USD,0.0,,2009-04-02,CYOU,,,2009-04-06 19:46:21,2009-04-06 19:46:21
88,102,c:7618,0.0,USD,0.0,,2006-02-08,VG,,,2009-04-14 20:27:21,2009-04-14 20:27:21
89,104,c:6234,0.0,USD,0.0,,2007-05-08,PROJ,,,2009-04-14 21:00:47,2009-04-14 21:00:47
90,105,c:16282,0.0,USD,0.0,,2006-10-20,VRAZ,,,2009-04-14 21:03:45,2009-04-14 21:03:45
91,106,c:13642,0.0,USD,0.0,,2000-01-01,CTCH,,,2009-04-29 20:03:03,2009-04-29 20:03:03
92,107,c:17731,0.0,USD,0.0,USD,2006-09-29,NASDAQ:RVBD,,,2009-05-11 05:24:58,2012-04-16 03:56:43
93,108,c:14963,0.0,USD,0.0,USD,1999-03-07,NASDAQ:INFA,http://nghgiwfwwinq.com/,unLEmoncF,2009-05-12 19:48:35,2012-06-02 00:43:49
94,109,c:13219,0.0,USD,600000000.0,USD,2007-03-01,NASDAQ:CLWR,http://www.networkworld.com/news/2007/030807-clearwire-ipo-jumps-up-on.html,,2009-05-26 19:59:48,2012-02-24 20:48:31
95,110,c:4303,134000000.0,USD,0.0,,2010-11-02,GKNT,,,2009-05-28 22:19:39,2010-11-03 17:52:03
96,111,c:24746,5000000.0,USD,0.0,,2008-07-23,SOLR,,,2009-06-15 21:06:33,2009-06-15 21:14:17
97,112,c:24745,55000000.0,USD,0.0,,2008-05-08,RSOL,,,2009-06-15 21:13:49,2009-06-15 21:13:49
98,113,c:24773,0.0,USD,0.0,USD,2007-10-23,NASDAQ:LBAS,,,2009-06-16 03:42:34,2013-10-07 13:19:25
99,114,c:601,1050000000.0,USD,0.0,,2009-05-21,NASDAQ:OPEN,,,2009-06-17 06:30:07,2012-02-11 20:40:49
100,115,c:25013,95500000.0,USD,0.0,,2007-05-18,ENOC,,,2009-06-19 19:07:03,2009-06-19 19:07:03
101,116,c:25639,0.0,USD,0.0,,,DRAM,,,2009-06-25 21:17:29,2009-06-25 21:17:29
102,117,c:25630,0.0,USD,0.0,,,CSU,,,2009-06-25 21:19:08,2009-06-25 21:19:08
103,118,c:25703,0.0,USD,0.0,USD,1991-01-01,NYSE:HAE,,,2009-06-26 04:54:26,2012-05-01 04:28:39
104,119,c:21287,0.0,USD,0.0,USD,1993-03-26,NASDAQ:MCHP,,,2009-06-26 05:17:18,2012-04-13 03:37:22
105,120,c:25706,300000000.0,USD,0.0,,2008-08-01,PVS,,,2009-06-26 05:21:44,2009-06-26 05:21:44
106,121,c:16612,0.0,USD,0.0,USD,1990-01-02,NASDAQ:MU,,,2009-06-26 05:27:31,2012-04-11 03:59:17
107,122,c:25714,0.0,USD,0.0,USD,1990-01-02,NASDAQ:SWKS,,,2009-06-26 05:54:21,2012-04-10 04:08:20
108,123,c:25380,0.0,USD,0.0,,,IMG,,,2009-06-26 16:13:34,2009-06-26 16:13:34
109,125,c:25809,0.0,USD,0.0,,,MBT,,,2009-06-26 20:41:16,2009-06-26 20:41:16
110,126,c:25818,0.0,USD,0.0,USD,,NASDAQ:EXAR,,,2009-06-26 22:06:24,2013-07-09 04:22:40
111,127,c:5663,0.0,USD,0.0,USD,1978-01-13,NYSE:GSK,,,2009-06-26 22:07:13,2013-06-24 07:14:13
112,128,c:25821,0.0,USD,0.0,,,CLGX,,,2009-06-26 22:23:51,2011-06-15 00:15:48
113,129,c:25908,50000000.0,USD,0.0,,2008-05-14,GWRI,,,2009-06-29 06:54:56,2009-06-29 06:54:56
114,130,c:24852,0.0,USD,0.0,USD,2009-06-03,NASDAQ:ITRI,,,2009-06-30 23:23:49,2012-05-28 02:36:46
115,131,c:25597,0.0,USD,0.0,,2009-01-02,LOCM,,,2009-07-01 18:18:23,2009-07-01 18:21:57
116,132,c:15299,803000000.0,USD,0.0,,2009-05-20,SWI,,,2009-07-01 20:21:42,2012-02-21 21:32:45
117,133,c:11997,0.0,USD,0.0,,2009-05-12,DGI,,,2009-07-01 20:28:11,2009-07-01 20:28:11
118,134,c:24568,0.0,USD,0.0,,2009-06-25,MDSO,,,2009-07-02 19:52:25,2009-07-02 19:52:25
119,135,c:14159,0.0,USD,0.0,,2006-06-01,LOOP,,,2009-07-03 03:31:16,2009-07-03 03:31:16
120,137,c:4825,0.0,USD,0.0,,1994-09-23,NASDAQ:SIRI,,,2009-07-06 17:31:56,2012-02-22 00:19:58
121,138,c:24879,0.0,USD,0.0,,,NETL,,,2009-07-06 19:27:05,2009-07-06 19:27:05
122,139,c:14008,0.0,USD,0.0,USD,1996-02-02,NASDAQ:OTEX,,,2009-07-06 19:29:29,2012-04-17 04:16:41
123,140,c:17065,0.0,USD,0.0,,,DCM,,,2009-07-09 21:47:02,2009-07-09 21:47:02
124,143,c:823,0.0,USD,0.0,USD,1994-07-08,NYSE:NOK,,,2009-07-24 17:18:21,2012-04-13 05:14:08
125,144,c:28279,115000000.0,USD,0.0,,2009-04-15,RST,,,2009-07-27 17:06:46,2009-09-08 20:35:07
126,145,c:28357,0.0,USD,0.0,USD,1999-11-26,NYSE:A,,,2009-07-28 20:41:23,2012-04-13 03:47:08
127,146,c:355,0.0,USD,0.0,USD,1978-01-13,NYSE:HPQ,,,2009-07-28 20:43:38,2012-04-12 03:59:20
128,147,c:396,0.0,USD,0.0,,,NASDAQ:NWS,,,2009-07-31 00:40:41,2010-12-16 12:20:06
129,149,c:2602,0.0,USD,0.0,USD,1988-07-01,NASDAQ:DELL,,,2009-08-10 04:06:11,2012-04-12 04:58:04
130,150,c:29378,85000000.0,USD,0.0,,2009-08-11,CPIX,,,2009-08-11 22:30:29,2009-08-11 22:30:29
131,151,c:32127,108000000.0,USD,0.0,,2007-05-31,JAZZ,,,2009-09-20 09:18:39,2009-09-20 09:20:37
132,152,c:32164,69000000.0,USD,0.0,,2007-02-08,NGX-4010,,,2009-09-21 11:49:35,2009-09-21 11:50:57
133,153,c:32373,0.0,USD,0.0,,,NASDAQ: SCRX,,,2009-09-23 23:36:18,2009-09-23 23:36:18
134,154,c:32425,375000000.0,USD,0.0,,2008-05-09,NEPI,,,2009-09-24 10:59:34,2009-09-24 10:59:34
135,155,c:32436,288000000.0,USD,0.0,,2007-02-08,ARAY,,,2009-09-24 12:05:53,2009-09-24 12:05:53
136,156,c:32447,92000000.0,USD,0.0,,2007-11-07,BFRM,,,2009-09-24 12:41:18,2009-09-24 12:43:12
137,158,c:15787,0.0,USD,0.0,,,NYSE:CVD,,,2009-09-24 21:57:55,2010-06-21 03:20:36
138,159,c:32497,0.0,USD,0.0,,,NASDAQ:JKHY,,,2009-09-24 22:46:04,2009-09-24 22:46:44
139,160,c:26917,0.0,USD,0.0,,,NASDAQ:ATRN,,,2009-09-24 22:53:42,2009-09-24 22:53:53
140,161,c:6623,0.0,USD,0.0,,,NASDAQ:PVSW,,,2009-09-24 23:01:34,2009-09-24 23:01:34
141,162,c:6446,0.0,USD,0.0,,,LSE:ALN,,,2009-09-24 23:05:46,2009-09-24 23:05:46
142,163,c:30503,0.0,USD,0.0,,,NASDAQ:CKSW,,,2009-09-24 23:14:27,2009-09-24 23:14:27
143,164,c:32510,0.0,USD,0.0,,,UBM,,,2009-09-24 23:30:21,2009-12-15 10:42:21
144,165,c:26919,0.0,USD,0.0,,,NASDAQ:INXI,,,2009-09-25 00:07:29,2009-09-25 00:07:29
145,166,c:1663,380436764.0,USD,0.0,,2009-09-24,NASDAQ:AONE,,,2009-09-25 00:23:09,2009-10-16 17:07:14
146,167,c:26894,0.0,USD,0.0,,,NASDAQ:RCMT,,,2009-09-25 00:41:59,2009-09-25 00:41:59
147,169,c:28263,0.0,USD,0.0,USD,2000-02-25,NASDAQ:ISIL,,,2009-09-25 01:09:16,2013-03-12 03:34:15
148,170,c:16259,0.0,USD,0.0,,,NASDAQ:JDSU,,,2009-09-25 01:57:26,2009-09-25 01:57:26
149,171,c:32942,0.0,USD,0.0,,,NASDAQ:NABI,,,2009-09-30 19:10:30,2009-09-30 19:10:30
150,172,c:32944,0.0,USD,0.0,,,NYSE:VRX,,,2009-09-30 19:22:23,2009-09-30 19:22:23
151,173,c:26144,57600000.0,USD,0.0,,2009-08-05,CDCS,,,2009-10-01 21:58:00,2009-10-16 19:19:52
152,174,c:33412,0.0,USD,0.0,,2005-01-01,NASDAQ:THLD,,,2009-10-07 22:56:42,2009-10-07 22:58:38
153,175,c:33750,108750000.0,USD,0.0,,2009-10-08,MG,,,2009-10-11 23:22:41,2009-10-16 19:14:07
154,176,c:33751,68200000.0,USD,0.0,,2009-10-08,OMER,,,2009-10-11 23:24:15,2009-10-16 19:14:33
155,177,c:33752,79800000.0,USD,0.0,,2009-10-02,ECHO,,,2009-10-11 23:26:25,2009-10-16 19:14:54
156,179,c:25744,0.0,USD,0.0,,2006-01-01,NASDAQ:WAVE,,,2009-10-12 19:12:24,2009-10-13 22:52:46
157,180,c:33647,0.0,USD,0.0,,,TTEK,,,2009-10-12 19:22:27,2009-10-12 19:22:27
158,181,c:17456,0.0,USD,0.0,,,LEDR,,,2009-10-12 20:05:16,2009-10-12 20:05:16
159,182,c:33843,0.0,USD,0.0,,,NYSE:GPN,,,2009-10-12 21:20:39,2009-10-12 21:20:39
160,184,c:19665,0.0,USD,0.0,,,LSE:SDL,,,2009-10-13 20:41:28,2009-10-13 20:41:28
161,185,c:23241,0.0,USD,0.0,,,NASDAQ:SIGM,,,2009-10-15 01:42:33,2009-10-15 01:42:33
162,187,c:32542,0.0,USD,0.0,,,NASDAQ:OXGN,,,2009-10-16 06:40:27,2009-10-16 06:40:27
163,188,c:34063,0.0,USD,0.0,,,OTCBB:VXGN,,,2009-10-16 06:48:15,2009-10-16 06:48:15
164,189,c:26371,367350000.0,USD,0.0,,2009-08-12,EM,,,2009-10-16 19:17:57,2009-10-16 19:17:57
165,190,c:34079,1043750000.0,USD,0.0,,2009-09-25,NSDQ: GAME,,,2009-10-16 19:20:55,2009-12-01 00:49:19
166,191,c:34080,648000000.0,USD,0.0,USD,2009-08-14,NASDAQ:AVGO,,,2009-10-16 19:22:15,2012-04-11 04:01:02
167,192,c:14081,0.0,USD,0.0,,2009-07-01,NASDAQ:LOGM,,,2009-10-16 20:24:36,2010-09-17 21:26:33
168,194,c:34178,10200000.0,USD,0.0,,2009-07-30,NASDAQ:RCON,,,2009-10-19 20:53:55,2009-10-19 20:53:55
169,195,c:34181,106375000.0,USD,0.0,,2009-07-13,NASDAQ:TBNK,,,2009-10-19 21:10:21,2009-10-19 21:10:21
170,196,c:34190,98000000.0,USD,0.0,,2009-07-30,NASDAQ:GSM,,,2009-10-19 21:48:26,2009-10-19 21:48:26
171,197,c:34191,320000000.0,USD,0.0,,2009-07-30,NYSE:PMT,,,2009-10-19 21:58:27,2009-10-19 21:58:27
172,198,c:2456,0.0,USD,0.0,,,NASDAQ:REVU,,,2009-10-20 12:13:52,2009-10-20 12:13:52
173,199,c:34362,0.0,USD,0.0,,,NASDAQ:POWL,,,2009-10-22 05:13:27,2009-10-22 05:13:27
174,202,c:34617,0.0,USD,0.0,USD,2008-09-29,NASDAQ:CYDE,,,2009-10-27 19:54:15,2013-10-03 10:05:10
175,203,c:34674,0.0,USD,0.0,USD,2000-12-15,NASDAQ:GRMN,,,2009-10-28 21:13:14,2012-04-16 03:15:41
176,204,c:25118,0.0,USD,0.0,,2005-01-01,TOM2.AS,,,2009-10-28 21:36:54,2009-10-28 21:36:54
177,205,c:2823,0.0,JPY,0.0,,1987-06-16,NYSE:EFX,,,2009-11-03 02:37:09,2012-02-27 07:07:16
178,206,c:35042,0.0,USD,0.0,,,NASDAQ:CLRO,,,2009-11-04 00:50:55,2009-11-04 00:50:55
179,207,c:15436,0.0,USD,0.0,,,TSX:EIN,,,2009-11-05 21:23:11,2009-11-19 18:18:37
180,208,c:28899,0.0,USD,0.0,,,NASDAQ:OCCF,,,2009-11-07 02:14:08,2009-11-07 02:14:08
181,210,c:31915,0.0,USD,0.0,,,NYSE:COV,,,2009-11-09 23:44:53,2009-11-09 23:44:53
182,211,c:35429,0.0,USD,0.0,USD,1978-01-13,NASDAQ:AMAT,,,2009-11-10 06:18:26,2012-04-16 02:24:18
183,212,c:31103,0.0,USD,0.0,USD,2000-01-01,NASDAQ:LIFE,,,2009-11-11 00:44:47,2012-04-11 03:49:35
184,213,c:2989,0.0,USD,0.0,,,NASDAQ:LOGI,,,2009-11-11 02:09:34,2009-11-11 02:09:34
185,214,c:35512,0.0,USD,0.0,,,NASDAQ:OPTT,,,2009-11-11 02:55:57,2009-11-11 02:55:57
186,215,c:29414,0.0,USD,0.0,,,NASDAQ: CAVM,,,2009-11-12 00:09:22,2009-11-12 00:09:22
187,216,c:35601,0.0,USD,0.0,,,NASDAQ:CHDN,,,2009-11-12 03:10:39,2009-11-12 03:10:39
188,217,c:35602,0.0,USD,0.0,,,NASDAQ:UBET,,,2009-11-12 03:24:39,2009-11-12 03:24:39
189,218,c:35663,0.0,USD,0.0,USD,,NASDAQ:TMRK,,,2009-11-13 04:22:43,2013-06-26 15:18:09
190,219,c:34749,0.0,USD,0.0,,,OTCBB:CCTR,,,2009-11-13 04:34:26,2009-11-13 04:34:26
191,220,c:35739,0.0,USD,0.0,,,NASDAQ:LBTYA,,,2009-11-14 02:56:33,2009-11-14 02:56:33
192,221,c:26802,0.0,USD,0.0,USD,2000-08-08,NASDAQ:TSYS,,,2009-11-17 05:28:48,2013-03-09 02:32:57
193,222,c:36087,0.0,USD,0.0,,,NASDAQ: SMTC,,,2009-11-19 04:37:48,2009-11-19 04:37:48
194,223,c:36158,0.0,USD,0.0,USD,,OTCQB:PBIO,,,2009-11-20 05:20:18,2013-11-14 10:45:45
195,224,c:36312,0.0,USD,0.0,USD,2006-04-18,OTC:VSUL,,,2009-11-24 02:12:24,2013-10-28 05:25:48
196,225,c:24566,0.0,USD,0.0,,,MIL,,,2009-11-24 03:23:45,2009-11-24 03:23:45
197,226,c:36404,0.0,USD,0.0,,,NYSE:GE,,,2009-11-25 04:56:51,2009-11-25 04:56:51
198,228,c:35105,0.0,USD,0.0,,,NYSE:WIN,,,2009-11-25 12:12:48,2009-11-25 12:12:48
199,229,c:36487,0.0,USD,0.0,,,NASDAQ:BCON,,,2009-11-26 15:30:38,2009-11-26 15:30:38
200,230,c:15794,0.0,USD,0.0,,,NYSE:BDX,,,2009-11-30 04:09:16,2009-11-30 04:09:16
201,231,c:10614,30000000.0,USD,0.0,,2010-02-10,NYSE:INUV,,,2009-11-30 04:33:12,2010-02-10 23:45:04
202,233,c:26977,0.0,USD,0.0,,,LNVGY,,,2009-12-01 03:49:52,2009-12-01 03:49:52
203,234,c:36665,0.0,USD,0.0,USD,,DDIC,,,2009-12-01 13:50:09,2012-04-04 13:22:43
204,235,c:36666,0.0,USD,0.0,,,CYY,,,2009-12-01 14:00:35,2009-12-01 14:00:35
205,236,c:36668,0.0,USD,0.0,,,CLAVIS,,,2009-12-01 14:12:05,2009-12-01 14:12:05
206,238,c:36738,0.0,USD,0.0,,,SNSR,,,2009-12-02 10:42:28,2009-12-02 10:42:28
207,239,c:36791,0.0,USD,0.0,,,GRB,,,2009-12-03 02:20:02,2009-12-03 02:20:02
208,240,c:36947,0.0,USD,0.0,,,XATA,,,2009-12-05 02:48:00,2009-12-05 02:48:00
209,241,c:35967,0.0,USD,0.0,,2009-12-03,BIT:YOOX,,,2009-12-06 01:41:37,2009-12-06 01:41:37
210,242,c:37093,0.0,USD,0.0,,,CELG,,,2009-12-08 06:14:47,2009-12-08 06:14:47
211,243,c:37095,0.0,USD,0.0,,,MLNK,,,2009-12-08 06:26:29,2009-12-08 06:26:29
212,244,c:30039,1242000.0,USD,156300000.0,USD,2009-11-01,NASDAQ:FTNT,http://www.reuters.com/article/2009/11/18/fortinet-idUSN176912920091118,Fortinet IPO prices above range,2009-12-08 06:28:12,2012-08-23 19:12:58
213,245,c:37100,0.0,USD,0.0,,,ASIA,,,2009-12-08 07:02:01,2009-12-08 07:02:01
214,246,c:37109,0.0,USD,0.0,,,XSEL,,,2009-12-08 10:10:52,2009-12-08 10:10:52
215,247,c:36983,0.0,USD,33000000.0,USD,1998-07-17,NASDAQ:BIRT,http://www.nasdaq.com/markets/ipos/company/actuate-corp-52196-5016,Company IPO Overview,2009-12-09 00:59:49,2012-06-25 22:28:35
